href,headline,source-href,source,details,publish-date
https://www.cnbc.com/2020/05/28/fda-authorizes-quests-coronavirus-test-with-at-home-sample-collection.html,FDA authorizes Quest's coronavirus test with at-home sample collection; shares rise,https://www.cnbc.com,(cnbc.com),Published on 2020-05-28 18:56:13,The announcement of the new test comes as the U.S. has failed to substantially increase its capacity to test for Covid-19 broadly throughout the population.
https://www.dailymail.co.uk/news/article-8366837/The-hurrah-Britain-prepares-streets-10th-weekly-salute.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,The last hurrah? Britain prepares to take to the streets in 10th weekly salute,https://www.dailymail.co.uk,(dailymail.co.uk),Published on 2020-05-28 18:55:36,"People all over the country have been taking to their doorsteps, balconies and windows to cheer and applaud NHS staff and key workers over the past ten weeks, amid the fight against coronavirus."
http://rss.cnn.com/~r/rss/cnn_latest/~3/SYcLpz12w_4/index.html,North Carolina hospital turns to drones to aid covid-19 response,https://edition.cnn.com/,(cnn.com),Published on 2020-05-28 18:46:49,"Outside Charlotte, North Carolina, white drones that resemble tiny airplanes are being loaded with personal protective equipment and launched into the skies to help a local hospital respond to Covid-19. The drones, which have an 11-foot wingspan, fly..."
http://feeds.reuters.com/~r/Reuters/worldNews/~3/m1nL9EPS00c/brazils-bolsonaro-urges-supreme-court-to-shelve-fake-news-probe-idUSKBN234253,Brazil's Bolsonaro urges Supreme Court to shelve 'fake news' probe,https://www.reuters.com/,(reuters.com),Published on 2020-05-28 18:41:49,"President Jair Bolsonaro slammed Brazil's Supreme Court on Thursday for investigating an alleged disinformation and intimidation campaign by his supporters, as a political crisis deepened amid the country's accelerating COVID-19 outbreak."
https://nationalpost.com/pmn/health-pmn/brazils-bolsonaro-urges-supreme-court-to-shelve-fake-news-probe,Brazil’s Bolsonaro urges Supreme Court to shelve ‘fake news’ probe,https://nationalpost.com,(nationalpost.com),Published on 2020-05-28 18:40:05,"BRASILIA — President Jair Bolsonaro slammed Brazil’s Supreme Court on Thursday for investigating an alleged disinformation and intimidation campaign by his supporters, as a political crisis deepened amid the country’s accelerating C..."
http://feeds.reuters.com/~r/Reuters/worldNews/~3/1HOawSbMxnA/mexican-farmworkers-crammed-into-border-tunnel-despite-contagion-risk-idUSKBN23435D,Mexican farmworkers crammed into border tunnel despite contagion risk,https://www.reuters.com/,(reuters.com),Published on 2020-05-28 18:39:39,"Every night, hundreds of farm workers in Mexico crowd for hours in a cramped tunnel to a border station to reach day jobs in Imperial Valley, California, with no social distancing enforced despite coronavirus cases saturating hospitals in the region."
https://www.foxnews.com/entertainment/christian-concert-drive-in-theater-tour-tobymac-newsboys-michael-w-smith,These Christian artists are doing drive-in concerts,https://www.foxnews.com/,(foxnews.com),Published on 2020-05-28 18:36:37,"Since the coronavirus stay-at-home orders were put in place, we have seen drive-thru confessions, drive-in church services and now, as the country slowly begins to reopen, several Christian artists – including Michael W. Smith, TobyMac and Newsboys U..."
https://www.theguardian.com/world/2020/may/28/global-report-france-eases-coronavirus-travel-restrictions,Global report: France to ease Covid-19 travel restrictions and open restaurants,https://www.theguardian.com,(theguardian.com),Published on 2020-05-28 18:35:47,"Lockdown returns to Seoul; Donald Trump calls 100,000 US deaths ‘very sad’; community transmissions rise in EthiopiaCoronavirus – latest updatesSee all our coronavirus coverageThe French government announced a further loosening of coronavirus restric..."
https://www.dailymail.co.uk/news/article-8361039/How-UKs-Covid-19-outbreak-barely-changed-seven-days.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,How UK's Covid-19 outbreak has barely changed in seven days,https://www.dailymail.co.uk,(dailymail.co.uk),Published on 2020-05-28 18:32:51,"Sir Patrick Vallance, chief scientific adviser to the British Government, today warned that 8,00 people are catching the coronavirus every day and UK still has a 'significant burden of infection'."
http://feeds.reuters.com/~r/Reuters/worldNews/~3/1TNB0RDtRcI/dubai-hits-the-ski-slope-as-coronavirus-restrictions-lift-idUSKBN23437F,Dubai hits the ski slope as coronavirus restrictions lift,https://www.reuters.com/,(reuters.com),Published on 2020-05-28 18:32:46,Adnan Mayasi's first move after Dubai lifted coronavirus restrictions on leisure activities was to hit the emirate's indoor ski slope - with the added protection of surgical mask and plastic gloves.
